Software,Domain,Executables,Category,References
Access Remote PC,,"rpcgrab.exe,rpcsetup.exe",RMM,
Action1,action1.com,action1_agent.exe,RMM,
AeroAdmin,aeroadmin.com,aeroadmin.exe,RMM,
AliWangWang-remote-control,wangwang.taobao.com,alitask.exe,RMM,
Alpemix,alpemix.com,alpemix.exe,RMM,
AmmyyAdmin,ammyy.com,AMMYY_Admin.exe,RMM,
AnyDesk,anydesk.com,anydesk.exe,RMM,
Anyplace Control,anyplace-control.com,apc_host.exe,RMM,
Atera RMM,atera.com,"ateraagent.exe,syncrosetup.exe",RMM,
Auvik,auvik.com,"auvik.agent.exe,auvik.engine.exe",RMM,
Barracuda,barracudamsp.com,,RMM,
Basecamp,basecamp.com,,RMM,
BeamYourScreen,beamyourscreen.com,"beamyourscreen.exe,beamyourscreen-host.exe",RMM,
BeAnywhere,beanywhere.en.uptodown.com/windows,"basupsrvc.exe,basupsrvcupdate.exe,basuptshelper.exe",RMM,
Bomgar,beyondtrust.com/brand/bomgar,bomgar-scc.exe,RMM,
CentraStage (Now Datto),datto.com/au/products/rmm/,CagService.exe,RMM,
Centurion,,ctiserv.exe,RMM,
Chrome Remote Desktop,remotedesktop.google.com,remote_host.exe,RMM,
CloudFlare Tunnel,cloudflare.com/products/tunnel/,cloudflared.exe,Remote Access,
ConnectWise Control,control.connectwise.com,"connectwisechat-customer.exe,connectwisecontrol.client.exe",RMM,
Comodo RMM,one.comodo.com,"itsmagent.exe,rviewer.exe",RMM,
CrossLoop,crossloop.en.softonic.com,crossloopservice.exe,RMM,
CrossTec Remote Control,crosstecsoftware.com/remotecontrol,"PCIVIDEO.EXE,supporttool.exe",RMM,
Cruz,resources.doradosoftware.com/cruz-rmm,,RMM,
Dameware-mini remote control Protocol,dameware.com,"dntus*.exe,dwrcs.exe",RMM,
Datto,datto.com,,RMM,
DeskDay,deskday.ai,,RMM,
Dev Tunnels (aka Visual Studio Dev Tunnel),learn.microsoft.com/en-us/azure/developer/dev-tunnels/overview,,Developer Utility,
Domotz,domotz.com,domotz_bash.exe,RMM,
dwservice,dwservice.net,,RMM,
Echoware,,"echoserver*.exe,echoware.dll",RMM,
eHorus,ehorus.com,ehorus standalone.exe,RMM,
Electric,electric.ai,,RMM,
EMCO Remote Console,emcosoftware.com,remoteconsole.exe,RMM,
Encapto,encapto.com,,RMM,
Ericom AccessNow,ericom.com,accessserver.exe,RMM,
Ericom Connect,ericom.com,ericomconnnectconfigurationtool.exe,RMM,
ESET Remote Administrator,eset.com/me/business/remote-management/remote-administrator/,"era.exe,ezhelp*.exe,eratool.exe",RMM,
ezHelp,ezhelp.co.kr,"ezhelpclient.exe,ezhelpclientmanager.exe",RMM,
FastViewer,fastviewer.com,"fastclient.exe,fastmaster.exe",RMM,
FixMe.it,fixme.it,fixmeitclient.exe,RMM,
FleetDeck,fleetdeck.io,fleetdeck_agent_svc.exe,RMM,
Fortra,fortra.com,,RMM,
GatherPlace-desktop sharing,gatherplace.com,"gp3.exe,gp4.exe,gp5.exe",RMM,
GetScreen,getscreen.me,getscreen.exe,RMM,
GoToAssist,goto.com,"g2a*.exe,gotoassist.exe",RMM,
GotoHTTP,gotohttp.com,gotohttp.exe,RMM,
GoToMyPC,get.gotomypc.com,"g2file*.exe,g2quick.exe,g2svc.exe,g2tray.exe",RMM,
Goverlan,goverlan.com,"goverrmc.exe,govsrv*.exe",RMM,
Guacamole,guacamole.apache.org,guacd.exe,RMM,
HelpBeam,helpbeam.software.informer.com,helpbeam*.exe,RMM,
I'm InTouch,01com.com/imintouch-remote-pc-desktop,"iit.exe,intouch.exe",RMM,
Instant Housecall,instanthousecall.com,"hsloader.exe,ihcserver.exe,instanthousecall.exe",RMM,
IntelliAdmin Remote Control,intelliadmin.com/remote-control,"iadmin.exe,intelliadmin.exe",RMM,
Iperius Remote,iperiusremote.com,"iperius.exe,iperiusremote.exe",RMM,
Itarian,,"ITSMAgent.exe,ItsmRsp.exe,ITSMService.exe,RDesktop.exe,RHost.exe,RmmService.exe",RMM,
ISL Light,islonline.com,"islalwaysonmonitor.exe,isllight.exe,isllightservice.exe",RMM,
Jump Desktop,jumpdesktop.com,"jumpclient.exe,jumpdesktop.exe,jumpservice.exe",RMM,
Kabuto,repairtechsolutions.com/kabuto/,,RMM,
Kaseya (aka Unigma),kaseya.com,agentmon.exe,RMM,
KickIdler,kickidler.com,,RMM,
LabTech RMM (Now ConnectWise Automate),connectwise.com,"ltsvc.exe,ltsvcmon.exe,lttray.exe",RMM,
LANDesk,ivanti.com,"issuser.exe,landeskagentbootstrap.exe,ldinv32.exe,ldsensors.exe",RMM,
Laplink Everywhere,everywhere.laplink.com,"laplink.exe,laplinkeverywhere.exe,llrcservice.exe,serverproxyservice.exe",RMM,
Laplink Gold,wen.laplink.com/product/laplink-gold,"laplink.exe,tsircusr.exe",RMM,
Level,level.io,,RMM,
LiteManager,litemanager.com,"romfusclient.exe,romserver.exe,romviewer.exe",RMM,
LogMeIn,logmein.com/central,"lmiguardiansvc.exe,lmiignition.exe,logmein.exe,logmeinsystray.exe",RMM,
LogMeIn rescue,logmeinrescue.com,"support-logmeinrescue*.exe,support-logmeinrescue.exe,lmi_rescue.exe",RMM,
ManageEngine RMM Central,manageengine.com/remote-monitoring-management/,,RMM,
MeshCentral,meshcentral.com,mesh*.exe,RMM,
Mikogo,mikogo.com,"mikogo.exe,mikogolauncher.exe,mikogo-service.exe,mikogo-starter.exe",RMM,
MioNet (Also known as WD Anywhere Access),,"mionet.exe,mionetmanager.exe",RMM,
mRemoteNG,mremoteng.org,,RMM,
MSP360,msp360.com,,RMM,
MyIVO,myivo-server.software.informer.com,"myivomanager.exe,myivomgr.exe",RMM,
Naverisk,naverisk.com,,RMM,
N-ABLE Remote Access Software,n-able.com,,RMM,
Netop Remote Control (aka Impero Connect),imperosoftware.com/impero-connect/,"nhostsvc.exe,nhstw32.exe,nldrw32.exe,rmserverconsolemediator.exe",RMM,
NetSupport Manager,netsupportmanager.com,"client32.exe,pcictlui.exe",RMM,
Netreo,netreo.com,,RMM,
Neturo,,"neturo.exe,ntrntservice.exe",RMM,
Netviewer,download.cnet.com/Net-Viewer/3000-2370_4-10034828.html,"netviewer*.exe,netviewer.exe",RMM,
ngrok,ngrok.com,ngrok.exe,Developer Utility,
NinjaRMM,ninjaone.com,ninjarmmagent.exe,RMM,
NoMachine,nomachine.com,"nomachine*.exe,nxd.exe",RMM,
